Region Name,FBN,CloudForge NHO,CloudForge PFHO,CloudForge  Change Freeze,CloudForge NEA,Build Status,Cluster,AZ,Site,Build Type ID,Build ID,CloudForge NBD,Snapshot Day,Build Type,CloudForge Due Date,DataWare House Update Date
APJC,SYD052INFP22,8/27/2020 12:00,7/24/2020 12:00,,5/1/2020 12:00,PIRPED,SYD,SYD52,SYD52,INF,SYD052INFP22.001,9/30/2019 12:00,8/16/2020,Infill Build,1/4/2021,8/17/2020
US-EAST,IAD100ROMP04,12/21/2020 12:00,12/7/2020 12:00,9/7/2020 12:00,11/9/2020 12:00,TRIGGERED,IAD,IAD7,IAD100,ROM,IAD100ROMP04.001,9/21/2020 12:00,8/16/2020,Room Build,11/17/2020,8/17/2020
US-EAST,IAD011RWKL01,9/30/2020 12:00,,,,TRIGGERED,IAD,IAD7,IAD11,RWK,IAD011RWKL01.001,10/11/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-WEST,PDX050RWKP84,11/1/2020 12:00,,,,PENDING_PIRP,PDX,PDX1,PDX50,RWK,PDX050RWKP84.001,11/1/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-WEST,SFO009RWKM199,12/3/2020 12:00,,,,TRIGGERED,SFO,SFO9,SFO9,RWK,SFO009RWKM199.001,9/19/2020 12:00,8/16/2020,Rework Build,,8/17/2020
MVP,DCA050RWKP03,9/25/2020 12:00,9/25/2020 12:00,,9/25/2020 12:00,PIRPED,DCA,DCA50,DCA50,RWK,DCA050RWKP03.001,9/30/2020 12:00,8/16/2020,Rework Build,,8/17/2020
EMEA,FRA053RWKI01,3/31/2020 12:00,,,,TRIGGERED,FRA,FRA53,FRA53,RWK,FRA053RWKI01.001,3/31/2020 12:00,8/16/2020,Rework Build,,8/17/2020
EMEA,FRA053RWKP05,3/9/2020 12:00,,,,PENDING_PIRP,FRA,FRA53,FRA53,RWK,FRA053RWKP05.001,3/9/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-WEST,SMF700COLP01,8/3/2020 12:00,6/8/2020 12:00,2/17/2020 12:00,6/8/2020 12:00,TRIGGERED,SMF,SMF700,SMF700,COL,SMF700COLP01.001,5/29/2020 12:00,8/16/2020,Colo Room Build,4/26/2022,8/17/2020
US-EAST,IAD117ROMP09,8/24/2020 12:00,8/17/2020 12:00,5/18/2020 12:00,7/20/2020 12:00,TRIGGERED,IAD,IAD6,IAD117,ROM,IAD117ROMP09.001,8/10/2020 12:00,8/16/2020,Room Build,9/2/2020,8/17/2020
US-EAST,IAD014INFP13,9/4/2020 12:00,9/4/2020 12:00,,9/4/2020 12:00,TRIGGERED,IAD,IAD7,IAD14,INF,IAD014INFP13.001,9/10/2019 12:00,8/16/2020,Infill Build,4/30/2020,8/17/2020
US-WEST,PDX067ROMP01,10/12/2020 12:00,9/14/2020 12:00,6/1/2020 12:00,8/17/2020 12:00,TRIGGERED,PDX,PDX2,PDX67,ROM,PDX067ROMP01.001,8/10/2020 12:00,8/16/2020,Room Build,2/19/2021,8/17/2020
EMEA,DUB074ROMP06,11/9/2020 12:00,10/19/2020 12:00,7/20/2020 12:00,9/28/2020 12:00,TRIGGERED,DUB,DUB4,DUB74,ROM,DUB074ROMP06.001,8/10/2020 12:00,8/16/2020,Room Build,10/23/2020,8/17/2020
EMEA,DUB066ROMP07,9/28/2020 12:00,9/14/2020 12:00,6/15/2020 12:00,8/14/2020 12:00,TRIGGERED,DUB,DUB2,DUB66,ROM,DUB066ROMP07.001,8/10/2020 12:00,8/16/2020,Room Build,10/30/2020,8/17/2020
US-EAST,IAD098INFP15,8/10/2020 12:00,8/10/2020 12:00,,8/10/2020 12:00,PIRPED,IAD,IAD6,IAD98,INF,IAD098INFP15.001,6/30/2020 12:00,8/16/2020,Infill Build,2/8/2021,8/17/2020
US-EAST,IAD055RWKO11,10/16/2020 12:00,,,,TRIGGERED,IAD,IAD55,IAD55,RWK,IAD055RWKO11.001,10/11/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD016CONP22,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD12,IAD16,CON,IAD016CONP22.001,10/8/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
APJC,BJS080COLP01,11/20/2020 12:00,10/23/2020 12:00,7/3/2020 12:00,8/16/2020 12:00,TRIGGERED,BJS,BJS80,BJS80,COL,BJS080COLP01.001,8/10/2020 12:00,8/16/2020,Colo Room Build,6/22/2021,8/17/2020
US-EAST,IAD011CONP22,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD7,IAD11,CON,IAD011CONP22.001,9/1/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
EMEA,FRA053RWKM01,3/31/2020 12:00,,,,TRIGGERED,FRA,FRA53,FRA53,RWK,FRA053RWKM01.001,3/31/2020 12:00,8/16/2020,Rework Build,,8/17/2020
APJC,SYD070CONP20,11/9/2020 12:00,,,,PENDING_PIRP,SYD,SYD7,SYD70,CON,SYD070CONP20.001,3/27/2020 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD145RWKP01,12/31/2019 12:00,,,,PENDING_PIRP,IAD,IAD12,IAD145,RWK,IAD145RWKP01.001,12/31/2019 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD011RWKO06,9/30/2020 12:00,,,,TRIGGERED,IAD,IAD7,IAD11,RWK,IAD011RWKO06.001,10/11/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD055CONP16,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD55,IAD55,CON,IAD055CONP16.001,9/1/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD052CONP21,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD7,IAD52,CON,IAD052CONP21.001,11/29/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
APJC,BJS011RWKP05,3/31/2020 12:00,,,,PENDING_PIRP,BJS,BJS11,BJS11,RWK,BJS011RWKP05.001,3/31/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-WEST,SFO009RWKM03,8/28/2020 12:00,,,,TRIGGERED,SFO,SFO9,SFO9,RWK,SFO009RWKM03.001,5/3/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD050CONP26,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD6,IAD50,CON,IAD050CONP26.001,9/11/2020 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
APJC,NRT007RWKP17,10/2/2020 12:00,10/2/2020 12:00,,10/2/2020 12:00,PIRPED,NRT,NRT7,NRT7,RWK,NRT007RWKP17.001,8/15/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-WEST,SFO009RWKK199,9/30/2020 12:00,,,,TRIGGERED,SFO,SFO9,SFO9,RWK,SFO009RWKK199.001,10/11/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-WEST,PDX080ROMP09,11/16/2020 12:00,11/2/2020 12:00,8/3/2020 12:00,10/5/2020 12:00,TRIGGERED,PDX,PDX80,PDX80,ROM,PDX080ROMP09.001,9/21/2020 12:00,8/16/2020,Room Build,12/9/2020,8/17/2020
EMEA,CPT062INFP02,9/11/2020 12:00,9/11/2020 12:00,,9/11/2020 12:00,PIRPED,CPT,CPT62,CPT62,INF,CPT062INFP02.001,9/11/2020 12:00,8/16/2020,Infill Build,1/4/2021,8/17/2020
US-EAST,IAD118ROMP07,10/5/2020 12:00,9/21/2020 12:00,6/22/2020 12:00,8/24/2020 12:00,TRIGGERED,IAD,IAD6,IAD118,ROM,IAD118ROMP07.001,8/10/2020 12:00,8/16/2020,Room Build,8/18/2020,8/17/2020
US-EAST,IAD015CONP21,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD12,IAD15,CON,IAD015CONP21.001,12/6/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD098CONP20,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD6,IAD98,CON,IAD098CONP20.001,10/6/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD011RWKL05,9/30/2020 12:00,,,,TRIGGERED,IAD,IAD7,IAD11,RWK,IAD011RWKL05.001,10/11/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD011RWKK07,9/30/2020 12:00,,,,TRIGGERED,IAD,IAD7,IAD11,RWK,IAD011RWKK07.001,10/11/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD055RWKI01,7/12/2020 12:00,,,,TRIGGERED,IAD,IAD55,IAD55,RWK,IAD055RWKI01.001,2/28/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD068CONP02,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD62,IAD68,CON,IAD068CONP02.001,6/1/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD007INFP13,9/18/2020 12:00,9/18/2020 12:00,,8/7/2020 12:00,PIRPED,IAD,IAD7,IAD7,INF,IAD007INFP13.001,6/30/2020 12:00,8/16/2020,Infill Build,1/4/2021,8/17/2020
US-EAST,IAD055CONP19,10/21/2020 12:00,,,,PIRPED,IAD,IAD55,IAD55,CON,IAD055CONP19.001,8/6/2020 12:00,8/16/2020,Conversion Build,10/21/2020,8/17/2020
US-EAST,IAD001RWKL06,6/25/2020 12:00,,,,TRIGGERED,IAD,IAD1,IAD1,RWK,IAD001RWKL06.001,12/31/2019 12:00,8/16/2020,Rework Build,,8/17/2020
EMEA,FRA061COLP01,10/5/2020 12:00,9/4/2020 12:00,5/15/2020 12:00,8/10/2020 12:00,TRIGGERED,FRA,FRA54,FRA61,COL,FRA061COLP01.001,8/10/2020 12:00,8/16/2020,Colo Room Build,3/11/2021,8/17/2020
US-WEST,OSU060ROMP03,9/18/2020 12:00,8/28/2020 12:00,5/29/2020 12:00,7/17/2020 12:00,TRIGGERED,OSU,OSU60,OSU60,ROM,OSU060ROMP03.001,8/10/2020 12:00,8/16/2020,Room Build,8/25/2020,8/17/2020
US-EAST,IAD050RWKN12,7/12/2020 12:00,,,,TRIGGERED,IAD,IAD6,IAD50,RWK,IAD050RWKN12.001,2/28/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-WEST,GRU050INFP05,11/30/2020 12:00,,,,PIRPED,GRU,GRU1,GRU50,INF,GRU050INFP05.001,11/2/2020 12:00,8/16/2020,Infill Build,2/20/2021,8/17/2020
EMEA,DUB055BRKP03,8/30/2019 12:00,,,,PENDING_PIRP,DUB,DUB2,DUB55,BRK,DUB055BRKP03.001,8/30/2019 12:00,8/16/2020,Emergent brick process,,8/17/2020
EMEA,DUB068ROMP08,7/29/2020 12:00,7/29/2020 12:00,4/29/2020 12:00,7/29/2020 12:00,PENDING_PIRP,DUB,DUB8,DUB68,ROM,DUB068ROMP08.001,2/1/2023 12:00,8/16/2020,Room Build,2/1/2023,8/17/2020
US-WEST,CMH058ROMP02,10/26/2020 12:00,10/26/2020 12:00,7/27/2020 12:00,9/28/2020 12:00,TRIGGERED,CMH,CMH52,CMH58,ROM,CMH058ROMP02.001,8/10/2020 12:00,8/16/2020,Room Build,12/15/2020,8/17/2020
US-EAST,IAD016INFP16,8/7/2020 12:00,7/31/2020 12:00,,6/14/2020 12:00,PIRPED,IAD,IAD12,IAD16,INF,IAD016INFP16.001,1/31/2020 12:00,8/16/2020,Infill Build,1/4/2021,8/17/2020
US-EAST,IAD016RWKP85,9/30/2020 12:00,,,,PENDING_PIRP,IAD,IAD12,IAD16,RWK,IAD016RWKP85.001,9/30/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD151ROMP07,12/16/2020 12:00,11/23/2020 12:00,8/24/2020 12:00,10/26/2020 12:00,TRIGGERED,IAD,IAD1,IAD151,ROM,IAD151ROMP07.001,8/10/2020 12:00,8/16/2020,Room Build,11/17/2020,8/17/2020
US-EAST,IAD013CONP26,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD6,IAD13,CON,IAD013CONP26.001,5/31/2020 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-WEST,PDX066ROMP01,9/10/2020 12:00,8/13/2020 12:00,4/30/2020 12:00,7/6/2020 12:00,TRIGGERED,PDX,PDX1,PDX66,ROM,PDX066ROMP01.001,8/10/2020 12:00,8/16/2020,Room Build,11/27/2020,8/17/2020
US-WEST,SFO008RWKH01,4/30/2020 12:00,,,,TRIGGERED,SFO,SFO8,SFO8,RWK,SFO008RWKH01.001,4/30/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD131ROMP04,9/21/2020 12:00,9/7/2020 12:00,6/8/2020 12:00,8/3/2020 12:00,TRIGGERED,IAD,IAD7,IAD131,ROM,IAD131ROMP04.001,8/10/2020 12:00,8/16/2020,Room Build,8/25/2020,8/17/2020
EMEA,DUB008RWKN07,5/28/2020 12:00,,,,TRIGGERED,DUB,DUB8,DUB8,RWK,DUB008RWKN07.001,5/24/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-WEST,SFO021RWKM05,10/21/2020 12:00,,,,TRIGGERED,SFO,SFO6,SFO21,RWK,SFO021RWKM05.001,8/15/2020 12:00,8/16/2020,Rework Build,,8/17/2020
EMEA,CDG084CONP02,7/27/2020 12:00,7/27/2020 12:00,,6/1/2020 12:00,PIRPED,CDG,CDG54,CDG84,CON,CDG084CONP02.001,6/9/2020 12:00,8/16/2020,Conversion Build,9/8/2020,8/17/2020
US-EAST,IAD011RWKM05,9/30/2020 12:00,,,,TRIGGERED,IAD,IAD7,IAD11,RWK,IAD011RWKM05.001,10/11/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD032RWKP05,10/16/2020 12:00,,,,PIRPED,IAD,IAD6,IAD32,RWK,IAD032RWKP05.001,10/16/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD024RWKM08,10/10/2020 12:00,,,,TRIGGERED,IAD,IAD7,IAD24,RWK,IAD024RWKM08.001,10/11/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD010INFP20,9/11/2020 12:00,,,,PIRPED,IAD,IAD6,IAD10,INF,IAD010INFP20.001,9/4/2020 12:00,8/16/2020,Infill Build,1/15/2021,8/17/2020
US-EAST,IAD001RWKL03,8/11/2020 12:00,,,,TRIGGERED,IAD,IAD1,IAD1,RWK,IAD001RWKL03.001,12/31/2019 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD007CONP17,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD7,IAD7,CON,IAD007CONP17.001,9/1/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-WEST,PDX080ROMP08,11/2/2020 12:00,10/19/2020 12:00,7/20/2020 12:00,9/21/2020 12:00,TRIGGERED,PDX,PDX80,PDX80,ROM,PDX080ROMP08.001,8/10/2020 12:00,8/16/2020,Room Build,6/14/2021,8/17/2020
APJC,NRT020RWKP08,5/15/2020 12:00,,,,PENDING_PIRP,NRT,NRT8,NRT20,RWK,NRT020RWKP08.001,5/15/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD012CONP24,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD12,IAD12,CON,IAD012CONP24.001,4/27/2020 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
EMEA,BAH053ROMP02,12/10/2020 12:00,11/26/2020 12:00,8/27/2020 12:00,10/30/2020 12:00,TRIGGERED,BAH,BAH53,BAH53,ROM,BAH053ROMP02.001,8/10/2020 12:00,8/16/2020,Room Build,7/10/2020,8/17/2020
EMEA,DUB074INFP04,10/2/2020 12:00,10/2/2020 12:00,,10/2/2020 12:00,PIRPED,DUB,DUB4,DUB74,INF,DUB074INFP04.001,10/2/2020 12:00,8/16/2020,Infill Build,1/4/2021,8/17/2020
US-WEST,PDX091ROMP03,11/9/2020 12:00,10/26/2020 12:00,7/27/2020 12:00,9/28/2020 12:00,TRIGGERED,PDX,PDX4,PDX91,ROM,PDX091ROMP03.001,8/10/2020 12:00,8/16/2020,Room Build,11/17/2020,8/17/2020
US-EAST,IAD078INFP17,8/31/2020 12:00,,,,PENDING_PIRP,IAD,IAD6,IAD78,INF,IAD078INFP17.001,7/31/2020 12:00,8/16/2020,Infill Build,1/25/2021,8/17/2020
US-EAST,IAD013RWKO04,8/26/2020 12:00,,,,TRIGGERED,IAD,IAD6,IAD13,RWK,IAD013RWKO04.001,6/12/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-WEST,PDX066ROMP02,9/14/2020 12:00,8/31/2020 12:00,6/1/2020 12:00,8/3/2020 12:00,TRIGGERED,PDX,PDX1,PDX66,ROM,PDX066ROMP02.001,8/10/2020 12:00,8/16/2020,Room Build,6/26/2020,8/17/2020
US-EAST,IAD006CONP18,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD6,IAD6,CON,IAD006CONP18.001,9/1/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD013RWKP92,9/30/2020 12:00,,,,PENDING_PIRP,IAD,IAD6,IAD13,RWK,IAD013RWKP92.001,8/31/2020 12:00,8/16/2020,Rework Build,,8/17/2020
APJC,NRT062COLP06,8/10/2020 12:00,8/3/2020 12:00,5/4/2020 12:00,7/6/2020 12:00,TRIGGERED,NRT,NRT55,NRT62,COL,NRT062COLP06.001,8/10/2020 12:00,8/16/2020,Colo Room Build,5/22/2020,8/17/2020
US-WEST,SFO053ROMP05,9/4/2020 12:00,8/21/2020 12:00,5/22/2020 12:00,7/24/2020 12:00,TRIGGERED,SFO,SFO6,SFO53,ROM,SFO053ROMP05.001,8/10/2020 12:00,8/16/2020,Room Build,8/7/2020,8/17/2020
US-EAST,IAD050CONP22,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD6,IAD50,CON,IAD050CONP22.001,4/15/2020 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
APJC,NRT064COLP01,9/2/2020 12:00,8/10/2020 12:00,2/24/2020 12:00,7/1/2020 12:00,TRIGGERED,NRT,NRT12,NRT64,COL,NRT064COLP01.001,8/10/2020 12:00,8/16/2020,Colo Room Build,7/16/2021,8/17/2020
EMEA,LHR054INFP24,9/11/2020 12:00,9/11/2020 12:00,,9/11/2020 12:00,PIRPED,LHR,LHR54,LHR54,INF,LHR054INFP24.001,7/31/2020 12:00,8/16/2020,Infill Build,1/12/2021,8/17/2020
US-EAST,IAD056RWKP02,9/30/2020 12:00,,,,PENDING_PIRP,IAD,IAD12,IAD56,RWK,IAD056RWKP02.001,8/31/2020 12:00,8/16/2020,Rework Build,,8/17/2020
EMEA,DUB008INFP54,8/31/2020 12:00,,,,PIRPED,DUB,DUB8,DUB8,INF,DUB008INFP54.001,9/1/2020 12:00,8/16/2020,Infill Build,1/25/2021,8/17/2020
APJC,SIN004INFP05,9/11/2020 12:00,9/11/2020 12:00,,7/24/2020 12:00,PIRPED,SIN,SIN4,SIN4,INF,SIN004INFP05.001,6/26/2020 12:00,8/16/2020,Infill Build,1/4/2021,8/17/2020
US-EAST,IAD010RWKP21,9/30/2020 12:00,,,,PENDING_PIRP,IAD,IAD6,IAD10,RWK,IAD010RWKP21.001,8/31/2020 12:00,8/16/2020,Rework Build,,8/17/2020
EMEA,DUB058ROMP04,12/14/2020 12:00,11/30/2020 12:00,8/31/2020 12:00,10/30/2020 12:00,TRIGGERED,DUB,DUB8,DUB58,ROM,DUB058ROMP04.001,8/10/2020 12:00,8/16/2020,Room Build,10/30/2020,8/17/2020
US-WEST,PDX065ROMP11,10/12/2020 12:00,9/28/2020 12:00,6/29/2020 12:00,8/31/2020 12:00,TRIGGERED,PDX,PDX2,PDX65,ROM,PDX065ROMP11.001,8/10/2020 12:00,8/16/2020,Room Build,11/3/2020,8/17/2020
EMEA,CPT061INFP02,9/11/2020 12:00,9/11/2020 12:00,,9/11/2020 12:00,PIRPED,CPT,CPT61,CPT61,INF,CPT061INFP02.001,9/11/2020 12:00,8/16/2020,Infill Build,1/4/2021,8/17/2020
US-EAST,IAD051RWKG02,9/30/2020 12:00,,,,TRIGGERED,IAD,IAD12,IAD51,RWK,IAD051RWKG02.001,10/11/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD012CONP20,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD12,IAD12,CON,IAD012CONP20.001,5/13/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD151ROMP05,11/9/2020 12:00,10/26/2020 12:00,7/27/2020 12:00,9/28/2020 12:00,TRIGGERED,IAD,IAD1,IAD151,ROM,IAD151ROMP05.001,8/10/2020 12:00,8/16/2020,Room Build,11/17/2020,8/17/2020
US-WEST,SFO009RWKN03,10/11/2020 12:00,,,,TRIGGERED,SFO,SFO9,SFO9,RWK,SFO009RWKN03.001,10/11/2020 12:00,8/16/2020,Rework Build,,8/17/2020
APJC,ICN054RWKP02,11/30/2019 12:00,,,,PENDING_PIRP,ICN,ICN54,ICN54,RWK,ICN054RWKP02.001,11/30/2019 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD009RWKM05,9/30/2020 12:00,,,,TRIGGERED,IAD,IAD1,IAD9,RWK,IAD009RWKM05.001,10/11/2020 12:00,8/16/2020,Rework Build,,8/17/2020
APJC,KIX056RWKP01,8/31/2020 12:00,,,,PENDING_PIRP,KIX,KIX52,KIX56,RWK,KIX056RWKP01.001,8/31/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD060RWKP03,10/16/2020 12:00,,,,PIRPED,IAD,IAD6,IAD60,RWK,IAD060RWKP03.001,10/16/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD055RWKP84,6/18/2020 12:00,,,,PENDING_PIRP,IAD,IAD55,IAD55,RWK,IAD055RWKP84.001,6/18/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD085INFP09,10/23/2020 12:00,10/23/2020 12:00,,10/23/2020 12:00,PENDING_PIRP,IAD,IAD7,IAD85,INF,IAD085INFP09.001,6/26/2020 12:00,8/16/2020,Infill Build,1/25/2021,8/17/2020
US-EAST,IAD050CONP25,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD6,IAD50,CON,IAD050CONP25.001,5/31/2020 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
EMEA,DUB052INRP34,11/30/2020 12:00,,,,PENDING_PIRP,DUB,DUB8,DUB52,INR,DUB052INRP34.001,11/30/2020 12:00,8/16/2020,End of row infills,,8/17/2020
US-WEST,OSU060CONP21,11/13/2020 12:00,11/13/2020 12:00,,11/13/2020 12:00,PIRPED,OSU,OSU60,OSU60,CON,OSU060CONP21.001,3/23/2020 12:00,8/16/2020,Conversion Build,6/11/2020,8/17/2020
EMEA,FRA053RWKP04,3/9/2020 12:00,,,,PENDING_PIRP,FRA,FRA53,FRA53,RWK,FRA053RWKP04.001,3/9/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-WEST,BWI700COLP01,9/4/2020 12:00,7/10/2020 12:00,3/20/2020 12:00,7/10/2020 12:00,PIRPED,BWI,BWI700,BWI700,COL,BWI700COLP01.001,10/16/2020 12:00,8/16/2020,Colo Room Build,6/1/2022,8/17/2020
US-WEST,PDT060INFP02,8/7/2020 12:00,8/7/2020 12:00,,8/7/2020 12:00,PIRPED,PDT,PDT2,PDT60,INF,PDT060INFP02.001,11/1/2020 12:00,8/16/2020,Infill Build,1/4/2021,8/17/2020
APJC,SYD053INFP01,10/8/2020 12:00,10/8/2020 12:00,,9/28/2020 12:00,PIRPED,SYD,SYD5,SYD53,INF,SYD053INFP01.001,4/2/2020 12:00,8/16/2020,Infill Build,1/4/2021,8/17/2020
US-EAST,IAD071INFP17,9/4/2020 12:00,,,,PIRPED,IAD,IAD6,IAD71,INF,IAD071INFP17.001,8/21/2020 12:00,8/16/2020,Infill Build,1/5/2021,8/17/2020
US-WEST,SFO009RWKM05,9/30/2020 12:00,,,,TRIGGERED,SFO,SFO9,SFO9,RWK,SFO009RWKM05.001,10/11/2020 12:00,8/16/2020,Rework Build,,8/17/2020
EMEA,CDG055INFP10,8/18/2020 12:00,6/22/2020 12:00,,4/24/2020 12:00,PIRPED,CDG,CDG55,CDG55,INF,CDG055INFP10.001,1/23/2020 12:00,8/16/2020,Infill Build,1/4/2021,8/17/2020
US-EAST,IAD007RWKD07,4/24/2019 12:00,,,,TRIGGERED,IAD,IAD7,IAD7,RWK,IAD007RWKD07.001,5/5/2019 12:00,8/16/2020,Rework Build,,8/17/2020
US-WEST,CMH052INFP11,9/18/2020 12:00,9/18/2020 12:00,,8/21/2020 12:00,PIRPED,CMH,CMH52,CMH52,INF,CMH052INFP11.001,9/25/2020 12:00,8/16/2020,Infill Build,1/4/2021,8/17/2020
EMEA,FRA060CONP24,8/26/2020 12:00,8/26/2020 12:00,,8/14/2020 12:00,PIRPED,FRA,FRA54,FRA60,CON,FRA060CONP24.001,8/12/2020 12:00,8/16/2020,Conversion Build,11/6/2020,8/17/2020
US-EAST,IAD006CONP20,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD6,IAD6,CON,IAD006CONP20.001,4/30/2020 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
EMEA,MXP063COLP02,8/24/2020 12:00,8/10/2020 12:00,5/11/2020 12:00,7/13/2020 12:00,TRIGGERED,MXP,MXP60,MXP63,COL,MXP063COLP02.001,8/10/2020 12:00,8/16/2020,Colo Room Build,1/26/2021,8/17/2020
US-EAST,IAD076INFP14,8/21/2020 12:00,8/21/2020 12:00,,6/15/2020 12:00,PIRPED,IAD,IAD12,IAD76,INF,IAD076INFP14.001,5/31/2020 12:00,8/16/2020,Infill Build,1/25/2021,8/17/2020
US-EAST,IAD012INFP26,9/14/2020 12:00,7/27/2020 12:00,,6/22/2020 12:00,PIRPED,IAD,IAD12,IAD12,INF,IAD012INFP26.001,11/25/2019 12:00,8/16/2020,Infill Build,1/25/2021,8/17/2020
EMEA,DUB008CONP23,9/28/2020 12:00,,,,PIRPED,DUB,DUB8,DUB8,CON,DUB008CONP23.001,6/30/2020 12:00,8/16/2020,Conversion Build,9/28/2020,8/17/2020
US-EAST,IAD118ROMP09,11/2/2020 12:00,10/19/2020 12:00,7/20/2020 12:00,9/21/2020 12:00,TRIGGERED,IAD,IAD6,IAD118,ROM,IAD118ROMP09.001,8/10/2020 12:00,8/16/2020,Room Build,8/18/2020,8/17/2020
US-EAST,IAD059RWKP02,7/1/2020 12:00,,,,PIRPED,IAD,IAD7,IAD59,RWK,IAD059RWKP02.001,7/1/2020 12:00,8/16/2020,Rework Build,,8/17/2020
APJC,ICN052RWKP06,1/31/2020 12:00,,,,PENDING_PIRP,ICN,ICN52,ICN52,RWK,ICN052RWKP06.001,1/31/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-WEST,PDX091ROMP04,11/30/2020 12:00,11/16/2020 12:00,8/17/2020 12:00,10/19/2020 12:00,TRIGGERED,PDX,PDX4,PDX91,ROM,PDX091ROMP04.001,8/24/2020 12:00,8/16/2020,Room Build,11/17/2020,8/17/2020
US-WEST,SFO021INFP28,6/5/2020 12:00,6/5/2020 12:00,,6/5/2020 12:00,PENDING_PIRP,SFO,SFO6,SFO21,INF,SFO021INFP28.001,1/1/2040 12:00,8/16/2020,Infill Build,1/1/2040,8/17/2020
US-EAST,IAD024RWKO08,10/4/2020 12:00,,,,TRIGGERED,IAD,IAD7,IAD24,RWK,IAD024RWKO08.001,10/11/2020 12:00,8/16/2020,Rework Build,,8/17/2020
